source_id,target_id,relation_type,target_in_dataset,used_for_grouping
127,128,SEQUEL,True,True
129,2143,PREQUEL,True,True
129,130,SEQUEL,True,True
129,484,SIDE_STORY,True,True
129,3218,SIDE_STORY,False,False
129,4476,SIDE_STORY,True,True
180,181,SEQUEL,True,True
180,1112,SUMMARY,True,True
189,190,SEQUEL,True,True
189,191,SIDE_STORY,True,True
189,192,SIDE_STORY,True,True
189,963,SIDE_STORY,True,True
191,189,PARENT,True,True
215,216,SEQUEL,True,True
215,213,PREQUEL,False,False
215,214,ALTERNATIVE,False,False
215,293,CHARACTER,False,False
221,222,SEQUEL,True,True
221,320,CHARACTER,False,False
227,21746,SEQUEL,True,True
243,507,SIDE_STORY,False,False
249,6811,SEQUEL,True,True
249,449,SIDE_STORY,True,True
249,450,SIDE_STORY,True,True
249,451,SIDE_STORY,True,True
249,452,SIDE_STORY,True,True
249,6566,CHARACTER,True,False
249,6567,CHARACTER,True,False
249,4886,SEQUEL,True,True
263,264,SEQUEL,True,True
263,12069,SIDE_STORY,True,True
285,1789,SIDE_STORY,True,True
304,49,PREQUEL,False,False
318,2217,SEQUEL,True,True
318,1234,SPIN_OFF,True,True
332,331,PREQUEL,False,False
351,350,PREQUEL,False,False
351,352,SEQUEL,True,True
351,2947,SIDE_STORY,True,True
369,101283,PARENT,True,True
372,232,PREQUEL,False,False
372,1078,OTHER,True,False
372,97881,SEQUEL,True,True
377,1733,PREQUEL,True,True
377,378,SEQUEL,True,True
393,182,ALTERNATIVE,False,False
396,290,PREQUEL,False,False
396,397,SEQUEL,True,True
396,399,SUMMARY,True,True
405,150,ALTERNATIVE,True,True
405,10490,OTHER,True,False
405,10681,OTHER,True,False
459,460,SEQUEL,True,True
459,21,PARENT,False,False
481,482,SEQUEL,True,True
481,3972,SEQUEL,True,True
481,1894,SIDE_STORY,True,True
481,5458,SIDE_STORY,True,True
481,550,ALTERNATIVE,False,False
481,10015,OTHER,True,False
481,20552,OTHER,True,False
481,21265,SEQUEL,True,True
481,98231,OTHER,True,False
481,114072,OTHER,True,False
481,123074,SIDE_STORY,True,True
481,142842,OTHER,True,False
481,174439,OTHER,True,False
508,2399,SIDE_STORY,True,True
508,7329,SIDE_STORY,True,True
508,7330,SIDE_STORY,True,True
508,8108,SIDE_STORY,True,True
508,8949,SIDE_STORY,True,True
508,8965,SIDE_STORY,True,True
508,117557,ALTERNATIVE,False,False
508,118641,PARENT,False,False
508,145406,SEQUEL,True,True
543,732,PREQUEL,False,False
557,554,PARENT,False,False
561,1165,ALTERNATIVE,False,False
561,608,OTHER,True,False
561,123612,SPIN_OFF,True,True
598,1768,SEQUEL,True,True
598,3190,CHARACTER,True,False
660,626,PREQUEL,False,False
665,666,SEQUEL,False,False
665,20474,ALTERNATIVE,True,True
665,20799,ALTERNATIVE,True,True
