ID,ImageUrl,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Hentai,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller,SeriesGroup
7522,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7522.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,series_7522
21868,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/21868-e66FEa6Njaoy.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,series_21868
1456,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx1456-AKZCK1HcMOkI.png,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,series_1456
20955,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20955-MeZp4OtwKGl1.jpg,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,series_20955
18845,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/18845.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_18845
2602,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx2602-CTeDdPqUCQyQ.jpg,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,series_2602
2759,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx2759-S0ATamQtDwlW.jpg,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,series_2759
3784,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx3784-TGCsqLryKJ2R.jpg,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,series_2759
3785,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx3785-a28lDzqtlfjB.png,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,series_2759
3786,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx3786-Tpt9iM72dxTv.jpg,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,series_2759
