ID,ImageUrl,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Hentai,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller
97622,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/97622-aRnpSt502Lf2.png,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
155089,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx155089-I5zYFNvWua57.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
186181,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx186181-DhRuSGRg4oTL.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126186,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx126186-Y49BJwDTQQbu.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
8599,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/8599.jpg,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21489,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx21489-mz0SQkCiXCcO.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21503,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/21503-nm6kE2p6O29x.png,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9718,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/9718.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18831,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/18831.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185874,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx185874-Oxopn5t9hZj1.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13041,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/13041.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15651,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/15651.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/814.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
181970,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx181970-dqNqPsJcBk5I.jpg,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
11266,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx11266-fSF6j9lTkcxs.png,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
356,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx356-mTpMvtillumS.png,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5570,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/5570.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21371,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/nx21371-6FxhpazMnWiJ.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
