genre,support,threshold,validation_f1,validation_precision,validation_recall
Action,305,0.18,0.5530393325387366,0.4344569288389513,0.760655737704918
Adventure,175,0.13,0.4131147540983607,0.2896551724137931,0.72
Comedy,487,0.3999999999999999,0.6536267318663407,0.5418918918918919,0.8234086242299795
Drama,222,0.21999999999999997,0.42483660130718953,0.3333333333333333,0.5855855855855856
Ecchi,80,0.21999999999999997,0.28776978417266186,0.3389830508474576,0.25
Fantasy,274,0.19999999999999996,0.4913678618857902,0.3862212943632568,0.6751824817518248
Hentai,137,0.21999999999999997,0.7132352941176471,0.7185185185185186,0.708029197080292
Horror,39,0.05,0.16753926701570682,0.10526315789473684,0.41025641025641024
Mahou Shoujo,22,0.07,0.13114754098360656,0.10256410256410256,0.18181818181818182
Mecha,49,0.19999999999999996,0.34074074074074073,0.26744186046511625,0.46938775510204084
Music,58,0.19,0.23376623376623376,0.47368421052631576,0.15517241379310345
Mystery,70,0.09,0.2631578947368421,0.17857142857142858,0.5
Psychological,54,0.06,0.2146341463414634,0.1456953642384106,0.4074074074074074
Romance,167,0.22999999999999998,0.36401673640167365,0.2797427652733119,0.5209580838323353
Sci-Fi,157,0.19,0.38596491228070173,0.29431438127090304,0.5605095541401274
Slice of Life,195,0.26999999999999996,0.40425531914893614,0.3089430894308943,0.5846153846153846
Sports,61,0.09,0.2222222222222222,0.16058394160583941,0.36065573770491804
Supernatural,133,0.13999999999999999,0.242274412855377,0.14497041420118342,0.7368421052631579
Thriller,18,0.05,0.09259259259259259,0.05555555555555555,0.2777777777777778
