genre,total,overall_share,train_count,train_within_split_share,train_share_of_genre_total,validation_count,validation_within_split_share,validation_share_of_genre_total,test_count,test_within_split_share,test_share_of_genre_total
Comedy,4820,0.430395571033128,3848,0.4296081277213353,0.7983402489626557,487,0.4344335414808207,0.10103734439834025,485,0.4326494201605709,0.10062240663900415
Action,3083,0.2752924368247165,2452,0.27375237244613154,0.7953292247810574,305,0.272078501338091,0.09892961401232565,326,0.29081177520071366,0.10574116120661693
Fantasy,2652,0.2368068577551567,2107,0.235235011722675,0.7944947209653092,274,0.24442462087421946,0.1033182503770739,271,0.24174843889384479,0.10218702865761689
Drama,2114,0.18876685418340924,1689,0.18856760075918277,0.7989593188268685,222,0.19803746654772525,0.10501419110690634,203,0.18108831400535236,0.09602649006622517
Slice of Life,2043,0.18242700241092955,1629,0.1818689293290164,0.7973568281938326,195,0.17395182872435325,0.09544787077826726,219,0.19536128456735058,0.10719530102790015
Romance,1940,0.17322975265648718,1574,0.17572848051803058,0.811340206185567,167,0.14897413024085637,0.08608247422680412,199,0.17752007136485282,0.10257731958762886
Adventure,1878,0.1676935440664345,1530,0.17081612146924194,0.8146964856230032,175,0.15611061552185548,0.09318423855165069,173,0.1543264942016057,0.09211927582534611
Sci-Fi,1759,0.1570675953210108,1414,0.15786535670425367,0.8038658328595794,157,0.1400535236396075,0.08925525866969869,188,0.16770740410347904,0.106878908470722
Hentai,1423,0.12706491651040272,1142,0.12749804622083286,0.8025298664792692,137,0.12221231043710973,0.09627547434996486,144,0.12845673505798394,0.10119465917076599
Supernatural,1361,0.12152870792035003,1106,0.12347884336273306,0.8126377663482733,133,0.11864406779661017,0.09772226304188097,122,0.10883140053523639,0.0896399706098457
Ecchi,806,0.07197071167068489,645,0.07201071787428827,0.8002481389578163,80,0.07136485280999108,0.09925558312655088,81,0.07225691347011597,0.10049627791563276
Mystery,718,0.06411286722028753,591,0.06598191358713855,0.8231197771587744,70,0.06244424620874219,0.09749303621169916,57,0.05084745762711865,0.07938718662952646
Mecha,634,0.0566121975176355,520,0.05805515239477504,0.8201892744479495,49,0.043710972346119537,0.07728706624605679,65,0.05798394290811775,0.10252365930599369
Music,582,0.051968925796946154,479,0.053477726917494695,0.8230240549828178,58,0.05173951828724353,0.09965635738831616,45,0.04014272970561998,0.07731958762886598
Sports,551,0.04920082150191982,437,0.04878865691637825,0.7931034482758621,61,0.054415700267618196,0.11070780399274047,53,0.04727921498661909,0.09618874773139746
Psychological,441,0.039378515938923116,339,0.03784749358043988,0.7687074829931972,54,0.04817127564674398,0.12244897959183673,48,0.042818911685994644,0.10884353741496598
Horror,334,0.029824091436735423,270,0.030144021435748576,0.8083832335329342,39,0.03479036574487065,0.11676646706586827,25,0.02230151650312221,0.0748502994011976
Mahou Shoujo,328,0.02928832931511742,269,0.030032376911912472,0.8201219512195121,22,0.019625334522747548,0.06707317073170732,37,0.03300624442462088,0.11280487804878049
Thriller,189,0.01687650683096705,156,0.01741654571843251,0.8253968253968254,18,0.016057091882247992,0.09523809523809523,15,0.013380909901873328,0.07936507936507936
