split,label_count,rows,share
all,1,3121,0.2786855969282972
all,2,3037,0.27118492722564513
all,3,2770,0.24734351281364408
all,4,1482,0.13233324403964639
all,5,547,0.04884364675417448
all,6,208,0.01857308688275739
all,7,32,0.002857397981962675
all,8,2,0.0001785873738726672
train,1,2470,0.2757619738751814
train,2,2416,0.26973316958803173
train,3,2232,0.24919057720218823
train,4,1218,0.1359830300323769
train,5,428,0.0477838562018533
train,6,165,0.018421346432957463
train,7,27,0.0030144021435748575
train,8,1,0.00011164452383610584
validation,1,321,0.2863514719000892
validation,2,323,0.288135593220339
validation,3,286,0.25512934879571814
validation,4,107,0.09545049063336307
validation,5,59,0.05263157894736842
validation,6,21,0.01873327386262266
validation,7,3,0.0026761819803746653
validation,8,1,0.0008920606601248885
test,1,330,0.2943800178412132
test,2,298,0.26583407671721676
test,3,252,0.2247992863514719
test,4,157,0.1400535236396075
test,5,60,0.05352363960749331
test,6,22,0.019625334522747548
test,7,2,0.001784121320249777
