SeriesGroup,total_rows_in_legacy_splits,train_rows,validation_rows,test_rows,example_titles
series_1121,67,53,10,4,ピカチュウのわんぱくアイランド / ピカチュウとイーブイフレンズ / 劇場版 ポケットモンスター ベストウイッシュ ビクティニと白き英雄 レシラム / 薄明の翼 EXPANSION ~星の祭~ / ポケモン・ザ・ムービーXY 破壊の繭とディアンシー
series_603,61,47,7,7,HUGっと！プリキュア / 魔法つかいプリキュア！！～MIRAI DAYS～ / わんだふるぷりきゅあ！ざ・むーびー！ドキドキ♡ゲームの世界で大冒険！ / 名探偵プリキュア！（映画） / キボウノチカラ～オトナプリキュア'23～
series_1694,45,38,6,1,"アイドルマスター ミリオンライブ！ ～The Backstage～ / シンデレラガールズ劇場 第3期 / アイドルマスターシンデレラガールズ / アイドルマスター シンデレラガールズ Anytime, Anywhere with Cinderella. / アイドルマスターシンデレラガールズ 2nd SEASON"
series_356,41,34,2,5,Fate/stay night / Fate/kaleid liner プリズマ☆イリヤ Licht 名前の無い少女 / ロード・エルメロイⅡ世の事件簿 {魔眼蒐集列車} Grace note 墓守と猫と魔術師 / 劇場版 Fate/kaleid liner プリズマ☆イリヤ 雪下の誓い 黒桜の部屋 / Fate/Grand Order CMs
series_9907,31,19,4,8,ラブライブ！サンシャイン!! 2nd Season / ラブライブ！サンシャイン!! / ラブライブ！蓮ノ空女学院スクールアイドルクラブ Bloom Garden Party / ラブライブ！虹ヶ咲学園スクールアイドル同好会 / ラブライブ!スーパースター!! 3期
series_9539,28,24,1,3,カードファイト!! ヴァンガード リンクジョーカー編 / カードファイト!! ヴァンガード Divinez デラックス決勝編 / カードファイト!! ヴァンガードG NEXT / カードファイト!! ヴァンガード Divinez デラックス編 / みにヴぁん
series_20,28,23,4,1,NARUTOナルトSD ロック・リーの青春フルパワー忍伝 / BORUTO -NARUTO THE MOVIE- / NARUTO -ナルト- THE CROSS ROADS / 劇場版 NARUTO -ナルト- 大興奮!みかづき島のアニマル騒動だってばよ / 劇場版 NARUTO -ナルト- 疾風伝 火の意志を継ぐ者
series_2172,27,22,3,2,映画クレヨンしんちゃん もののけニンジャ珍風伝 / 映画クレヨンしんちゃん　ガチンコ! 逆襲のロボとーちゃん / クレヨンしんちゃん 嵐を呼ぶ アッパレ! 戦国大合戦 / クレヨンしんちゃん オタケベ!カスカベ野生王国 / 映画 クレヨンしんちゃん 襲来!!宇宙人シリリ
series_1685,26,19,3,4,デュエル・マスターズWIN / 新星輝デュエル・マスターズ フラッシュ / Duel Masters LOST ～月下の死神～ / DUEL MASTERS キング!  / ゼロ デュエル・マスターズ
series_10257,26,21,3,2,プリパラ / プリティーリズム・オールスターセレクション プリズムショー☆ベストテン / 劇場版 プリパラ＆キラッとプリ☆チャン ～きらきらメモリアルライブ～ / プリパラ 3rdシーズン / 劇場版プリパラ　み～んなあつまれ！プリズム☆ツアーズ
series_467,25,17,3,5,攻殻機動隊 S.A.C. 2nd GIG Individual Eleven タチコマな日々 / 攻殻機動隊 STAND ALONE COMPLEX-インターバル- / 攻殻機動隊 THE GHOST IN THE SHELL / 攻殻機動隊 Stand Alone Complex - The Laughing Man / 攻殻機動隊 新劇場版
series_918,25,22,0,3,銀魂゜ / 銀魂. ポロリ編 / 銀魂ジャンプフェスタアニメツアー 2015 / 銀魂’ / 銀魂ジャンプフェスタアニメツアー’０５
series_22,24,19,1,4,テニスの王子様 跡部からの贈り物 ～君に捧げるテニプリ祭り～ / 放課後の王子様 / テニスの王子様　OVA ANOTHER STORY ～過去と未来のメッセージ / テニスの王子様TVアニメ版ペアプリDVD / 新テニスの王子様 U-17 WORLD CUP 決勝メンバー決定戦
series_2392,24,21,1,2,映画ドラえもん 新・のび太の大魔境 ~ペコと5人の探検隊~ / ドラえもん おばあちゃんの思い出 / STAND BY ME ドラえもん 2 / 映画ドラえもん 新・のび太と鉄人兵団 ～はばたけ 天使たち～ / 映画ドラえもん のび太の宇宙小戦争 2021
series_21459,24,18,2,4,僕のヒーローアカデミア THE MOVIE ヒーローズ:ライジング / 僕のヒーローアカデミア４ / 僕のヒーローアカデミア 雄英ヒーローズ・バトル / 僕のヒーローアカデミア THE MOVIE 〜2人の英雄〜 / 僕のヒーローアカデミア救え!救助訓練!
series_87435,23,18,3,2,BanG Dream! It's MyGO!!!!! / つれづれポピパ  / BanG Dream! ガルパ☆ピコ / BanG Dream! FILM LIVE 2nd Stage / BanG Dream! Morfonication
series_5081,21,19,1,1,傷物語 -こよみヴァンプ- / 傷物語〈Ⅱ熱血篇〉 / 傷物語〈Ⅲ冷血篇〉 / 化物語 / 猫物語（黒）
series_4654,21,18,2,1,とある科学の超電磁砲S 大事なことはぜんぶ銭湯に教わった / 飛び出せ一方さん　ハチャメチャ快進撃 / とある科学の超電磁砲 御坂さんはいま注目の的ですから / とある科学の超電磁砲T / とある魔術の禁書目録III
series_16498,20,16,3,1,"劇場版「進撃の巨人」前編～紅蓮の弓矢～ / 「進撃の巨人」ちみキャラ劇場""とんでけ! 訓練兵団"" / 劇場版「進撃の巨人」Season 2～覚醒の咆哮～ / 進撃の巨人 外伝 悔いなき選択 / 進撃の巨人 OVA"
series_288,20,17,1,2,メタルファイト ベイブレード 4D / ベイブレードバースト クアッドストライク / 爆転シュート　ベイブレード　THE MOVIE　激闘！！タカオＶＳ大地 / ベイブレードバースト 神[ゴッド] / メタルファイト ベイブレード
series_4737,20,16,2,2,秘密結社鷹の爪 THE MOVIE II　私を愛した黒烏龍茶 / 鷹の爪GO 吉田 / むかしの吉田くん－秘密結社鷹の爪外伝－ / 鷹の爪７ ～女王陛下のジョブーブ～ / 秘密結社鷹の爪 THE MOVIE4 〜カスペルスキーを持つ男〜
series_21261,20,19,0,1,まついぬ / おそ松さん おうまでこばなし / おそ松さん~ヒピポ族と輝く果実~ / あつまれ！みんなのコンテ松さん！
series_19383,19,15,3,1,闇芝居 4 / 闇芝居 十一期 / 闇芝居 / 忍者コレクション / 闇芝居 6
series_459,19,14,2,3,ONE PIECE 3D 麦わらチェイス / ONE PIECE エピソードオブアラバスタ 砂漠の王女と海賊たち / ONE PIECE FILM Z / ONE PIECE 呪われた聖剣 / ONE PIECE FILM Z『GLORIOUS ISLAND』
series_15061,19,16,2,1,アイカツスターズ！ 星のツバサ / アイカツ! / 劇場版アイカツプラネット！ / アイカツフレンズ! / アイカツ！ 10th STORY ～未来へのSTARWAY～
