genre,split,split_rows,genre_count,share_within_split,share_of_genre_total,target_share_of_total,target_delta_pp,total_genre_count
Action,train,8924,2452,0.27476467951591216,0.7986970684039087,0.8,-0.13029315960912946,3070
Adventure,train,8924,1480,0.16584491259524878,0.7914438502673797,0.8,-0.8556149732620311,1870
Comedy,train,8924,3833,0.4295159121470193,0.7970472031607403,0.8,-0.29527968392597526,4809
Drama,train,8924,1650,0.18489466606902735,0.7834757834757835,0.8,-1.652421652421654,2106
Ecchi,train,8924,631,0.07070820259973107,0.787765293383271,0.8,-1.2234706616729096,801
Fantasy,train,8924,2098,0.23509636934110265,0.7943960620976903,0.8,-0.560393790230973,2641
Hentai,train,8924,1134,0.1270730614074406,0.8002822865208187,0.8,0.028228652081863093,1417
Horror,train,8924,272,0.03047960555804572,0.8168168168168168,0.8,1.6816816816816793,333
Mahou Shoujo,train,8924,246,0.027566113850291347,0.7616099071207431,0.8,-3.8390092879256987,323
Mecha,train,8924,490,0.05490811295383236,0.7790143084260731,0.8,-2.0985691573926935,629
Music,train,8924,477,0.053451367099955176,0.8209982788296041,0.8,2.0998278829604033,581
Mystery,train,8924,588,0.06588973554459883,0.8212290502793296,0.8,2.122905027932953,716
Psychological,train,8924,356,0.03989242492155984,0.8072562358276644,0.8,0.7256235827664326,441
Romance,train,8924,1530,0.17144778126400717,0.7931570762052877,0.8,-0.6842923794712297,1929
Sci-Fi,train,8924,1406,0.15755266696548634,0.8025114155251142,0.8,0.25114155251141357,1752
Slice of Life,train,8924,1648,0.184670551322277,0.8090328915071183,0.8,0.9032891507118279,2037
Sports,train,8924,439,0.04919318691169879,0.8025594149908593,0.8,0.255941499085921,547
Supernatural,train,8924,1113,0.12471985656656208,0.8201915991156964,0.8,2.0191599115696346,1357
Thriller,train,8924,148,0.016584491259524877,0.7872340425531915,0.8,-1.276595744680853,188
Action,validation,1116,290,0.25985663082437277,0.09446254071661238,0.1,-0.5537459283387627,3070
Adventure,validation,1116,194,0.17383512544802868,0.10374331550802139,0.1,0.3743315508021386,1870
Comedy,validation,1116,507,0.4543010752688172,0.10542732376793512,0.1,0.5427323767935116,4809
Drama,validation,1116,221,0.19802867383512546,0.10493827160493827,0.1,0.493827160493826,2106
Ecchi,validation,1116,70,0.06272401433691756,0.08739076154806492,0.1,-1.260923845193508,801
Fantasy,validation,1116,241,0.21594982078853048,0.09125331313896251,0.1,-0.8746686861037495,2641
Hentai,validation,1116,146,0.13082437275985664,0.10303458009880029,0.1,0.30345800988002825,1417
Horror,validation,1116,31,0.027777777777777776,0.09309309309309309,0.1,-0.6906906906906916,333
Mahou Shoujo,validation,1116,35,0.03136200716845878,0.10835913312693499,0.1,0.8359133126934981,323
Mecha,validation,1116,73,0.06541218637992832,0.11605723370429252,0.1,1.6057233704292517,629
Music,validation,1116,53,0.047491039426523295,0.09122203098106713,0.1,-0.877796901893288,581
Mystery,validation,1116,69,0.06182795698924731,0.09636871508379888,0.1,-0.36312849162011274,716
Psychological,validation,1116,45,0.04032258064516129,0.10204081632653061,0.1,0.2040816326530609,441
Romance,validation,1116,188,0.16845878136200718,0.09745982374287196,0.1,-0.2540176257128046,1929
Sci-Fi,validation,1116,184,0.16487455197132617,0.1050228310502283,0.1,0.5022831050228299,1752
Slice of Life,validation,1116,200,0.17921146953405018,0.09818360333824251,0.1,-0.1816396661757494,2037
Sports,validation,1116,59,0.0528673835125448,0.10786106032906764,0.1,0.7861060329067637,547
Supernatural,validation,1116,111,0.09946236559139784,0.08179808400884303,0.1,-1.8201915991156974,1357
Thriller,validation,1116,23,0.02060931899641577,0.12234042553191489,0.1,2.2340425531914883,188
Action,test,1116,328,0.2939068100358423,0.10684039087947883,0.1,0.6840390879478825,3070
Adventure,test,1116,196,0.17562724014336917,0.10481283422459893,0.1,0.4812834224598925,1870
Comedy,test,1116,469,0.42025089605734767,0.0975254730713246,0.1,-0.2474526928675405,4809
Drama,test,1116,235,0.21057347670250895,0.11158594491927826,0.1,1.158594491927825,2106
Ecchi,test,1116,100,0.08960573476702509,0.12484394506866417,0.1,2.4843945068664164,801
Fantasy,test,1116,302,0.27060931899641577,0.11435062476334722,0.1,1.435062476334721,2641
Hentai,test,1116,137,0.12275985663082438,0.09668313338038109,0.1,-0.33168666196189134,1417
Horror,test,1116,30,0.026881720430107527,0.09009009009009009,0.1,-0.990990990990992,333
Mahou Shoujo,test,1116,42,0.03763440860215054,0.13003095975232198,0.1,3.0030959752321977,323
Mecha,test,1116,66,0.05913978494623656,0.10492845786963434,0.1,0.4928457869634334,629
Music,test,1116,51,0.0456989247311828,0.08777969018932874,0.1,-1.2220309810671264,581
Mystery,test,1116,59,0.0528673835125448,0.0824022346368715,0.1,-1.7597765363128501,716
Psychological,test,1116,40,0.035842293906810034,0.09070294784580499,0.1,-0.9297052154195018,441
Romance,test,1116,211,0.18906810035842295,0.10938310005184033,0.1,0.938310005184033,1929
Sci-Fi,test,1116,162,0.14516129032258066,0.09246575342465753,0.1,-0.7534246575342476,1752
Slice of Life,test,1116,189,0.1693548387096774,0.09278350515463918,0.1,-0.7216494845360827,2037
Sports,test,1116,49,0.04390681003584229,0.08957952468007313,0.1,-1.0420475319926874,547
Supernatural,test,1116,133,0.11917562724014337,0.09801031687546058,0.1,-0.19896831245394264,1357
Thriller,test,1116,17,0.015232974910394265,0.09042553191489362,0.1,-0.9574468085106382,188
