ID,Title,ImageUrl,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Hentai,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller,SeriesGroup
51,天使禁猟区,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b51-qkm7PDhQr1jS.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,series_51
104,妖しのセレス,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx104-fUBucj3ywYzH.png,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,series_104
105,BOYS BE・・・,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/105.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,series_105
127,ゲートキーパーズ,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx127-gwP6xnzX1ZiY.png,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,series_127
129,幻想魔伝 最遊記,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx129-YjyAZNbmTGxE.png,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,series_129
171,ストレンジ・ドーン,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx171-PKLAXt0u5vBb.png,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,series_171
180,ヴァンドレッド,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx180-67CAKcXsjpUt.png,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,series_180
189,ラブひな,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx189-ybxKAazvr7cH.png,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,series_189
191,ラブひなクリスマススペシャル 〜サイレント・イヴ〜,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx191-pKngFO6EOiqI.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,series_189
215,Pia キャロット へ ようこそ!! 2 DX,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/215.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,series_215
221,メゾフォルテ,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx221-OIx9EYxmjTxB.png,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,series_221
227,フリクリ,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx227-qOB9ZhVvNnqO.jpg,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,series_227
233,だぁ! だぁ! だぁ!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/233.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,series_233
243,グラビテーション,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/243.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,series_243
249,犬夜叉,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx249-jVBkyLnBvnRE.png,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,series_249
263,はじめの一歩 THE FIGHTING!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx263-ivVyn9xAgwSZ.png,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,series_263
285,アルジェント ソーマ,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx285-3uocEIy1Dh2f.jpg,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,series_285
304,劇場版 ああっ女神さまっ,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx304-p9BSB5gOwZRO.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,series_304
318,HAND MAID メイ,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx318-y6XU23XQD8pC.png,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,series_318
332,ドキドキ伝説 魔法陣グルグル,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx332-3SfpF3Hqv4fe.png,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,series_332
351,おジャ魔女どれみ♯,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b351-d77vjiz5qpni.png,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,series_351
369,ブギーポップは笑わない Boogiepop Phantom,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx369-dwzXLDvzzAmK.png,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,series_369
372,劇場版 カードキャプターさくら 封印されたカード,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx372-fTXJwelrAAC6.png,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,series_372
377,エクスドライバー,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx377-fGzxXHUxQtwV.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,series_377
