ID,ImageUrl,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Hentai,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller,SeriesGroup
21261,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx21261-jLm2IGonsEzU.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,series_21261
21510,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/21510-FgDYDwDMzAcQ.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
21591,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/21591-WQVx3qj9tCJ7.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
97915,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx97915-r16FTYd3QsRy.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,series_21261
97916,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/97916-lVjajMKdTQSu.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
98565,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx98565-SflMvnfkJY82.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,series_21261
145557,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b145557-Uqin64wIqoPM.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
145985,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx145985-yIeSw33Stvnx.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
104213,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/nx104213-JRw23GHolMhk.jpg,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,series_21261
114474,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx114474-vlqWuluhoTsG.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
114750,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx114750-ernO1Ibz8WXv.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
120851,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx120851-94u8CMlI599g.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,series_21261
137097,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b137097-5PtQ5g4KZBZt.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
137106,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b137106-hfZR8Kxz10c7.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
145553,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx145553-6ScN7DCYlCbm.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
145555,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx145555-3F3nOUmUZDNH.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
135177,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx135177-wCKkr4zjmFPI.jpg,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_21261
135178,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx135178-nWYVn4A5ftWe.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,series_21261
169227,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx169227-ez97csCzeejg.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,series_21261
177880,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx177880-54MNSycPEMFA.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,series_21261
5614,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/5614.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,series_5614
189565,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx189565-OHhadYSsd0Bg.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,series_189565
21026,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/21026-czrzMZNzcGYz.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,series_21026
204,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/204.jpg,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_204
6548,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/6548.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,series_6548
131880,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx131880-LVei71RpRj7i.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,series_131880
139682,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b139682-KDxC9krjuSF0.png,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,series_131880
150697,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx150697-fLd2gHCvhTYx.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,series_131880
102305,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/102305-wbe0WGRaFKYN.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,series_20800
20800,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx20800-7IAW762FbSFU.png,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,series_20800
